# Machine-readable review queue. One row per crossing; not an active transport file.
rank	routeAProven	detourSteps	detourCapped	edgeKey	from	to	direction	name	action	label
279	false	>512	true	2901,3511,0 E	2902,3511,0	2901,3511,0	W	Door	Open	Open Door
280	false	>512	true	2902,3467,0 N	2902,3467,0	2902,3468,0	N	Door	Open	Open Door
281	false	>512	true	2906,3542,1 N	2906,3543,1	2906,3542,1	S	Door	Open	Open Door
282	false	>512	true	2911,9968,0 E	2911,9968,0	2912,9968,0	E	Door	Open	Open Door
283	false	>512	true	2931,9689,0 N	2931,9690,0	2931,9689,0	S	Door	Open	Open Door
284	false	>512	true	2931,9694,0 N	2931,9694,0	2931,9695,0	N	Door	Open	Open Door
285	false	>512	true	2933,3463,0 E	2934,3463,0	2933,3463,0	W	Door	Open	Open Door
286	false	>512	true	3014,3181,0 N	3014,3182,0	3014,3181,0	S	Door	Open	Open Door
287	false	>512	true	3014,3453,0 E	3015,3453,0	3014,3453,0	W	Door	Open	Open Door
288	false	>512	true	3018,3181,0 N	3018,3182,0	3018,3181,0	S	Door	Open	Open Door
289	false	>512	true	3018,3187,0 N	3018,3187,0	3018,3188,0	N	Door	Open	Open Door
290	false	>512	true	3019,3515,0 E	3020,3515,0	3019,3515,0	W	Door	Open	Open Door
291	false	>512	true	3019,9732,0 N	3019,9732,0	3019,9733,0	N	Door	Open	Open Door
292	false	>512	true	3023,5082,1 E	3023,5082,1	3024,5082,1	E	Door	Open	Open Door
293	false	>512	true	3037,3956,0 E	3038,3956,0	3037,3956,0	W	Door	Open	Open Door
294	false	>512	true	3041,3959,0 N	3041,3959,0	3041,3960,0	N	Door	Open	Open Door
295	false	>512	true	3043,9729,0 N	3043,9729,0	3043,9730,0	N	Door	Open	Open Door
296	false	>512	true	3044,3956,0 E	3044,3956,0	3045,3956,0	E	Door	Open	Open Door
297	false	>512	true	3079,9334,3 N	3079,9334,3	3079,9335,3	N	Door	Open	Open Door
298	false	>512	true	3081,9287,3 E	3082,9287,3	3081,9287,3	W	Door	Open	Open Door
299	false	>512	true	3107,3367,0 E	3107,3367,0	3108,3367,0	E	Door	Open	Open Door
300	false	>512	true	3115,3449,0 N	3115,3450,0	3115,3449,0	S	Door	Open	Open Door
301	false	>512	true	3129,9289,3 N	3129,9290,3	3129,9289,3	S	Door	Open	Open Door
302	false	>512	true	3129,9334,3 N	3129,9334,3	3129,9335,3	N	Door	Open	Open Door
303	false	>512	true	3143,3443,0 N	3143,3443,0	3143,3444,0	N	Door	Open	Open Door
304	false	>512	true	3143,3452,0 E	3144,3452,0	3143,3452,0	W	Door	Open	Open Door
305	false	>512	true	3147,3172,0 N	3147,3172,0	3147,3173,0	N	Door	Open	Open Door
306	false	>512	true	3153,3405,0 E	3154,3405,0	3153,3405,0	W	Door	Open	Open Door
307	false	>512	true	3153,3409,0 E	3154,3409,0	3153,3409,0	W	Door	Open	Open Door
308	false	>512	true	3182,9611,0 E	3183,9611,0	3182,9611,0	W	Door	Open	Open Door
309	false	>512	true	3184,3412,0 E	3184,3412,0	3185,3412,0	E	Door	Open	Open Door
310	false	>512	true	3185,3387,0 N	3185,3388,0	3185,3387,0	S	Door	Open	Open Door
311	false	>512	true	3189,3384,0 E	3190,3384,0	3189,3384,0	W	Door	Open	Open Door
312	false	>512	true	3190,3957,0 N	3190,3957,0	3190,3958,0	N	Door	Open	Open Door
313	false	>512	true	3191,3362,0 N	3191,3363,0	3191,3362,0	S	Door	Open	Open Door
314	false	>512	true	3191,3962,0 N	3191,3963,0	3191,3962,0	S	Door	Open	Open Door
315	false	>512	true	3195,3384,0 E	3196,3384,0	3195,3384,0	W	Door	Open	Open Door
316	false	>512	true	3195,3398,0 N	3195,3399,0	3195,3398,0	S	Door	Open	Open Door
317	false	>512	true	3203,3475,2 N	3203,3476,2	3203,3475,2	S	Door	Open	Open Door
318	false	>512	true	3203,3493,2 N	3203,3493,2	3203,3494,2	N	Door	Open	Open Door
319	false	>512	true	3205,3489,1 N	3205,3489,1	3205,3490,1	N	Door	Open	Open Door
320	false	>512	true	3235,3404,0 E	3235,3404,0	3236,3404,0	E	Door	Open	Open Door
321	false	>512	true	3238,9767,0 N	3238,9767,0	3238,9768,0	N	Door	Open	Open Door
322	false	>512	true	3240,3406,0 E	3241,3406,0	3240,3406,0	W	Door	Open	Open Door
323	false	>512	true	3241,3382,0 E	3241,3382,0	3242,3382,0	E	Door	Open	Open Door
324	false	>512	true	3241,3412,0 E	3242,3412,0	3241,3412,0	W	Door	Open	Open Door
325	false	>512	true	3246,3385,0 N	3246,3386,0	3246,3385,0	S	Door	Open	Open Door
326	false	>512	true	3247,9779,0 N	3247,9779,0	3247,9780,0	N	Door	Open	Open Door
327	false	>512	true	3248,3410,0 N	3248,3411,0	3248,3410,0	S	Door	Open	Open Door
328	false	>512	true	3249,9773,0 N	3249,9774,0	3249,9773,0	S	Door	Open	Open Door
329	false	>512	true	3250,9769,0 N	3250,9770,0	3250,9769,0	S	Door	Open	Open Door
330	false	>512	true	3251,3385,0 N	3251,3386,0	3251,3385,0	S	Door	Open	Open Door
331	false	>512	true	3255,3388,0 E	3255,3388,0	3256,3388,0	E	Door	Open	Open Door
332	false	>512	true	3259,3400,0 E	3259,3400,0	3260,3400,0	E	Door	Open	Open Door
333	false	>512	true	3264,3441,0 N	3264,3441,0	3264,3442,0	N	Door	Open	Open Door
334	false	>512	true	3265,3441,0 N	3265,3441,0	3265,3442,0	N	Door	Open	Open Door
335	false	>512	true	3267,3382,0 E	3267,3382,0	3268,3382,0	E	Door	Open	Open Door
336	false	>512	true	3272,3379,0 N	3272,3380,0	3272,3379,0	S	Door	Open	Open Door
337	false	>512	true	3273,3382,0 E	3274,3382,0	3273,3382,0	W	Door	Open	Open Door
338	false	>512	true	3280,9199,0 N	3280,9199,0	3280,9200,0	N	Door	Open	Open Door
339	false	>512	true	3306,9199,0 N	3306,9199,0	3306,9200,0	N	Door	Open	Open Door
340	false	>512	true	3337,5947,0 E	3338,5947,0	3337,5947,0	W	Door	Open	Open Door
341	false	>512	true	3339,5945,0 N	3339,5945,0	3339,5946,0	N	Door	Open	Open Door
342	false	>512	true	3353,9544,0 N	3353,9544,0	3353,9545,0	N	Door	Open	Open Door
343	false	>512	true	3354,9544,0 N	3354,9544,0	3354,9545,0	N	Door	Open	Open Door
344	false	>512	true	3354,9558,0 N	3354,9558,0	3354,9559,0	N	Door	Open	Open Door
345	false	>512	true	3355,9558,0 N	3355,9558,0	3355,9559,0	N	Door	Open	Open Door
346	false	>512	true	3365,9542,0 N	3365,9542,0	3365,9543,0	N	Door	Open	Open Door
347	false	>512	true	3371,9556,0 E	3372,9556,0	3371,9556,0	W	Door	Open	Open Door
348	false	>512	true	3373,9547,0 E	3374,9547,0	3373,9547,0	W	Door	Open	Open Door
349	false	>512	true	3378,5927,0 N	3378,5928,0	3378,5927,0	S	Door	Open	Open Door
350	false	>512	true	3378,5929,0 N	3378,5929,0	3378,5930,0	N	Door	Open	Open Door
351	false	>512	true	3490,3474,1 E	3490,3474,1	3491,3474,1	E	Door	Open	Open Door
352	false	>512	true	3492,3476,1 N	3492,3476,1	3492,3477,1	N	Door	Open	Open Door
353	false	>512	true	3493,3470,1 N	3493,3471,1	3493,3470,1	S	Door	Open	Open Door
354	false	>512	true	3496,3476,1 N	3496,3476,1	3496,3477,1	N	Door	Open	Open Door
355	false	>512	true	3497,3470,1 N	3497,3471,1	3497,3470,1	S	Door	Open	Open Door
356	false	>512	true	3592,3227,0 E	3593,3227,0	3592,3227,0	W	Door	Open	Open Door
357	false	>512	true	3594,3218,0 N	3594,3219,0	3594,3218,0	S	Door	Open	Open Door
358	false	>512	true	3595,3186,0 N	3595,3187,0	3595,3186,0	S	Door	Open	Open Door
359	false	>512	true	3595,3214,0 E	3595,3214,0	3596,3214,0	E	Door	Open	Open Door
360	false	>512	true	3595,3236,0 E	3595,3236,0	3596,3236,0	E	Door	Open	Open Door
361	false	>512	true	3595,3251,0 E	3596,3251,0	3595,3251,0	W	Door	Open	Open Door
362	false	>512	true	3597,3205,0 N	3597,3205,0	3597,3206,0	N	Door	Open	Open Door
363	false	>512	true	3598,3189,0 E	3598,3189,0	3599,3189,0	E	Door	Open	Open Door
364	false	>512	true	3598,3197,0 N	3598,3198,0	3598,3197,0	S	Door	Open	Open Door
365	false	>512	true	3598,3209,0 N	3598,3210,0	3598,3209,0	S	Door	Open	Open Door
366	false	>512	true	3598,3242,0 E	3599,3242,0	3598,3242,0	W	Door	Open	Open Door
367	false	>512	true	3598,3259,0 N	3598,3260,0	3598,3259,0	S	Door	Open	Open Door
368	false	>512	true	3599,3227,0 E	3600,3227,0	3599,3227,0	W	Door	Open	Open Door
369	false	>512	true	3599,3282,0 N	3599,3282,0	3599,3283,0	N	Door	Open	Open Door
370	false	>512	true	3601,3382,0 N	3601,3382,0	3601,3383,0	N	Door	Open	Open Door
371	false	>512	true	3602,3207,0 N	3602,3208,0	3602,3207,0	S	Door	Open	Open Door
372	false	>512	true	3602,3389,0 E	3602,3389,0	3603,3389,0	E	Door	Open	Open Door
373	false	>512	true	3604,3262,0 N	3604,3262,0	3604,3263,0	N	Door	Open	Open Door
374	false	>512	true	3605,3358,0 N	3605,3358,0	3605,3359,0	N	Door	Open	Open Door
375	false	>512	true	3605,3364,0 N	3605,3365,0	3605,3364,0	S	Door	Open	Open Door
376	false	>512	true	3606,3205,0 N	3606,3206,0	3606,3205,0	S	Door	Open	Open Door
377	false	>512	true	3608,3263,0 E	3609,3263,0	3608,3263,0	W	Door	Open	Open Door
378	false	>512	true	3608,3289,0 N	3608,3290,0	3608,3289,0	S	Door	Open	Open Door
379	false	>512	true	3609,3387,0 N	3609,3387,0	3609,3388,0	N	Door	Open	Open Door
380	false	>512	true	3610,3391,0 N	3610,3392,0	3610,3391,0	S	Door	Open	Open Door
381	false	>512	true	3612,3196,0 E	3613,3196,0	3612,3196,0	W	Door	Open	Open Door
382	false	>512	true	3612,3208,0 N	3612,3209,0	3612,3208,0	S	Door	Open	Open Door
383	false	>512	true	3612,3377,0 E	3612,3377,0	3613,3377,0	E	Door	Open	Open Door
384	false	>512	true	3613,3303,0 E	3613,3303,0	3614,3303,0	E	Door	Open	Open Door
385	false	>512	true	3614,3204,0 N	3614,3204,0	3614,3205,0	N	Door	Open	Open Door
386	false	>512	true	3614,3254,0 N	3614,3254,0	3614,3255,0	N	Door	Open	Open Door
387	false	>512	true	3616,3234,0 E	3616,3234,0	3617,3234,0	E	Door	Open	Open Door
388	false	>512	true	3616,3241,0 N	3616,3242,0	3616,3241,0	S	Door	Open	Open Door
389	false	>512	true	3617,3281,0 E	3618,3281,0	3617,3281,0	W	Door	Open	Open Door
390	false	>512	true	3618,3223,0 N	3618,3223,0	3618,3224,0	N	Door	Open	Open Door
391	false	>512	true	3618,3304,0 N	3618,3305,0	3618,3304,0	S	Door	Open	Open Door
392	false	>512	true	3619,3295,0 N	3619,3296,0	3619,3295,0	S	Door	Open	Open Door
393	false	>512	true	3619,3381,0 N	3619,3381,0	3619,3382,0	N	Door	Open	Open Door
394	false	>512	true	3620,3238,0 E	3621,3238,0	3620,3238,0	W	Door	Open	Open Door
395	false	>512	true	3620,3384,0 N	3620,3385,0	3620,3384,0	S	Door	Open	Open Door
396	false	>512	true	3621,3212,0 E	3622,3212,0	3621,3212,0	W	Door	Open	Open Door
397	false	>512	true	3621,3230,0 N	3621,3230,0	3621,3231,0	N	Door	Open	Open Door
398	false	>512	true	3624,3207,0 N	3624,3207,0	3624,3208,0	N	Door	Open	Open Door
399	false	>512	true	3624,3221,0 N	3624,3221,0	3624,3222,0	N	Door	Open	Open Door
400	false	>512	true	3625,3204,0 E	3625,3204,0	3626,3204,0	E	Door	Open	Open Door
401	false	>512	true	3625,3258,0 E	3626,3258,0	3625,3258,0	W	Door	Open	Open Door
402	false	>512	true	3626,3393,0 E	3626,3393,0	3627,3393,0	E	Door	Open	Open Door
403	false	>512	true	3628,3204,0 E	3629,3204,0	3628,3204,0	W	Door	Open	Open Door
404	false	>512	true	3628,3250,0 E	3628,3250,0	3629,3250,0	E	Door	Open	Open Door
405	false	>512	true	3629,3232,0 N	3629,3232,0	3629,3233,0	N	Door	Open	Open Door
406	false	>512	true	3629,3296,0 E	3630,3296,0	3629,3296,0	W	Door	Open	Open Door
407	false	>512	true	3630,3320,0 E	3630,3320,0	3631,3320,0	E	Door	Open	Open Door
408	false	>512	true	3631,3261,0 N	3631,3262,0	3631,3261,0	S	Door	Open	Open Door
409	false	>512	true	3631,3266,0 N	3631,3266,0	3631,3267,0	N	Door	Open	Open Door
410	false	>512	true	3632,3280,0 E	3633,3280,0	3632,3280,0	W	Door	Open	Open Door
411	false	>512	true	3632,3316,0 E	3633,3316,0	3632,3316,0	W	Door	Open	Open Door
412	false	>512	true	3632,3383,0 E	3632,3383,0	3633,3383,0	E	Door	Open	Open Door
413	false	>512	true	3633,3242,0 N	3633,3243,0	3633,3242,0	S	Door	Open	Open Door
414	false	>512	true	3633,3272,0 E	3633,3272,0	3634,3272,0	E	Door	Open	Open Door
415	false	>512	true	3633,3284,0 N	3633,3285,0	3633,3284,0	S	Door	Open	Open Door
416	false	>512	true	3634,3239,0 E	3635,3239,0	3634,3239,0	W	Door	Open	Open Door
417	false	>512	true	3635,3254,0 E	3636,3254,0	3635,3254,0	W	Door	Open	Open Door
418	false	>512	true	3635,3289,0 N	3635,3290,0	3635,3289,0	S	Door	Open	Open Door
419	false	>512	true	3637,3242,0 N	3637,3243,0	3637,3242,0	S	Door	Open	Open Door
420	false	>512	true	3639,3284,0 N	3639,3285,0	3639,3284,0	S	Door	Open	Open Door
421	false	>512	true	3639,3302,0 E	3639,3302,0	3640,3302,0	E	Door	Open	Open Door
422	false	>512	true	3642,3383,0 N	3642,3384,0	3642,3383,0	S	Door	Open	Open Door
423	false	>512	true	3645,3380,0 N	3645,3380,0	3645,3381,0	N	Door	Open	Open Door
424	false	>512	true	3662,3377,0 N	3662,3378,0	3662,3377,0	S	Door	Open	Open Door
425	false	>512	true	3750,3292,0 N	3750,3292,0	3750,3293,0	N	Door	Open	Open Door
426	false	>512	true	1765,10149,0 N	1765,10149,0	1765,10150,0	N	Doorway	Go-through	Go-through Doorway
427	false	>512	true	2445,4595,0 N	2445,4596,0	2445,4595,0	S	Doorway	Walk-through	Walk-through Doorway
428	false	>512	true	2509,3635,0 N	2509,3636,0	2509,3635,0	S	Doorway	Walk-through	Walk-through Doorway
429	false	>512	true	3056,4991,1 N	3056,4991,1	3056,4992,1	N	Doorway	Open	Open Doorway
430	false	>512	true	3510,9957,0 E	3510,9957,0	3511,9957,0	E	Entrance	Open	Open Entrance
431	false	>512	true	2923,9654,0 E	2924,9654,0	2923,9654,0	W	Exit door	Open	Open Exit door
432	false	>512	true	2926,9649,0 E	2927,9649,0	2926,9649,0	W	Exit door	Open	Open Exit door
433	false	>512	true	2930,9640,0 E	2931,9640,0	2930,9640,0	W	Exit door	Open	Open Exit door
434	false	>512	true	1804,3501,0 E	1805,3501,0	1804,3501,0	W	Farm door	Open	Open Farm door
435	false	>512	true	1681,6099,0 E	1681,6099,0	1682,6099,0	E	Gate	Open	Open Gate
436	false	>512	true	1681,6100,0 E	1681,6100,0	1682,6100,0	E	Gate	Open	Open Gate
437	false	>512	true	1686,12510,0 E	1686,12510,0	1687,12510,0	E	Gate	Open	Open Gate
438	false	>512	true	1686,12511,0 E	1686,12511,0	1687,12511,0	E	Gate	Open	Open Gate
439	false	>512	true	1702,12526,0 E	1703,12526,0	1702,12526,0	W	Gate	Open	Open Gate
440	false	>512	true	1702,12527,0 E	1703,12527,0	1702,12527,0	W	Gate	Open	Open Gate
441	false	>512	true	1934,5536,0 E	1935,5536,0	1934,5536,0	W	Gate	Open	Open Gate
442	false	>512	true	2382,3488,0 E	2383,3488,0	2382,3488,0	W	Gate	Open	Open Gate
443	false	>512	true	2382,4445,0 E	2383,4445,0	2382,4445,0	W	Gate	Open	Open Gate
444	false	>512	true	2382,4446,0 E	2383,4446,0	2382,4446,0	W	Gate	Open	Open Gate
445	false	>512	true	2517,3356,0 N	2517,3356,0	2517,3357,0	N	Gate	Open	Open Gate
446	false	>512	true	2518,3356,0 N	2518,3356,0	2518,3357,0	N	Gate	Open	Open Gate
447	false	>512	true	2528,5844,1 N	2528,5845,1	2528,5844,1	S	Gate	Squeeze-through	Squeeze-through Gate
448	false	>512	true	2545,3569,0 E	2545,3569,0	2546,3569,0	E	Gate	Open	Open Gate
449	false	>512	true	2545,3570,0 E	2545,3570,0	2546,3570,0	E	Gate	Open	Open Gate
450	false	>512	true	2551,3325,1 E	2551,3325,1	2552,3325,1	E	Gate	Open	Open Gate
451	false	>512	true	2551,3326,1 E	2551,3326,1	2552,3326,1	E	Gate	Open	Open Gate
452	false	>512	true	2578,9656,0 E	2579,9656,0	2578,9656,0	W	Gate	Go-through	Go-through Gate
453	false	>512	true	2592,9489,0 N	2592,9490,0	2592,9489,0	S	Gate	Open	Open Gate
454	false	>512	true	2593,9489,0 N	2593,9490,0	2593,9489,0	S	Gate	Open	Open Gate
455	false	>512	true	2594,3361,0 E	2594,3361,0	2595,3361,0	E	Gate	Open	Open Gate
456	false	>512	true	2594,3362,0 E	2594,3362,0	2595,3362,0	E	Gate	Open	Open Gate
457	false	>512	true	2595,9657,0 E	2595,9657,0	2596,9657,0	E	Gate	Open	Open Gate
458	false	>512	true	2635,3307,0 N	2635,3307,0	2635,3308,0	N	Gate	Open	Open Gate
459	false	>512	true	2636,3307,0 N	2636,3307,0	2636,3308,0	N	Gate	Open	Open Gate
460	false	>512	true	2642,3441,0 E	2642,3441,0	2643,3441,0	E	Gate	Open	Open Gate
461	false	>512	true	2642,3442,0 E	2642,3442,0	2643,3442,0	E	Gate	Open	Open Gate
462	false	>512	true	2649,3469,0 N	2649,3470,0	2649,3469,0	S	Gate	Open	Open Gate
463	false	>512	true	2650,3469,0 N	2650,3470,0	2650,3469,0	S	Gate	Open	Open Gate
464	false	>512	true	2651,4039,1 E	2652,4039,1	2651,4039,1	W	Gate	Open	Open Gate
465	false	>512	true	2655,9714,0 E	2655,9714,0	2656,9714,0	E	Gate	Open	Open Gate
466	false	>512	true	2655,9715,0 E	2655,9715,0	2656,9715,0	E	Gate	Open	Open Gate
467	false	>512	true	2661,9802,0 N	2661,9803,0	2661,9802,0	S	Gate	Open	Open Gate
468	false	>512	true	2661,9814,0 N	2661,9815,0	2661,9814,0	S	Gate	Open	Open Gate
469	false	>512	true	2662,9802,0 N	2662,9803,0	2662,9802,0	S	Gate	Open	Open Gate
470	false	>512	true	2662,9814,0 N	2662,9815,0	2662,9814,0	S	Gate	Open	Open Gate
471	false	>512	true	2681,3697,0 N	2681,3697,0	2681,3698,0	N	Gate	Open	Open Gate
472	false	>512	true	2682,3697,0 N	2682,3697,0	2682,3698,0	N	Gate	Open	Open Gate
473	false	>512	true	2726,3494,1 N	2726,3494,1	2726,3495,1	N	Gate	Open	Open Gate
474	false	>512	true	2727,3494,1 N	2727,3494,1	2727,3495,1	N	Gate	Open	Open Gate
475	false	>512	true	2728,3349,0 N	2728,3349,0	2728,3350,0	N	Gate	Open	Open Gate
476	false	>512	true	2729,3349,0 N	2729,3349,0	2729,3350,0	N	Gate	Open	Open Gate
477	false	>512	true	2742,5343,1 N	2742,5343,1	2742,5344,1	N	Gate	Open	Open Gate
478	false	>512	true	2745,5333,1 N	2745,5334,1	2745,5333,1	S	Gate	Open	Open Gate
479	false	>512	true	2815,3182,0 E	2816,3182,0	2815,3182,0	W	Gate	Open	Open Gate
480	false	>512	true	2815,3183,0 E	2816,3183,0	2815,3183,0	W	Gate	Open	Open Gate
481	false	>512	true	2888,4587,0 E	2888,4587,0	2889,4587,0	E	Gate	Open	Open Gate
482	false	>512	true	2890,4563,0 E	2890,4563,0	2891,4563,0	E	Gate	Open	Open Gate
483	false	>512	true	2890,4592,0 E	2890,4592,0	2891,4592,0	E	Gate	Open	Open Gate
484	false	>512	true	2892,4574,0 E	2892,4574,0	2893,4574,0	E	Gate	Open	Open Gate
485	false	>512	true	2894,4580,0 E	2894,4580,0	2895,4580,0	E	Gate	Open	Open Gate
486	false	>512	true	2894,4587,0 E	2894,4587,0	2895,4587,0	E	Gate	Open	Open Gate
487	false	>512	true	2895,4597,0 N	2895,4598,0	2895,4597,0	S	Gate	Open	Open Gate
488	false	>512	true	2896,4562,0 E	2896,4562,0	2897,4562,0	E	Gate	Open	Open Gate
489	false	>512	true	2896,4583,0 E	2896,4583,0	2897,4583,0	E	Gate	Open	Open Gate
490	false	>512	true	2898,4570,0 E	2898,4570,0	2899,4570,0	E	Gate	Open	Open Gate
491	false	>512	true	2898,4585,0 E	2898,4585,0	2899,4585,0	E	Gate	Open	Open Gate
492	false	>512	true	2898,4599,0 N	2898,4600,0	2898,4599,0	S	Gate	Open	Open Gate
493	false	>512	true	2899,4595,0 N	2899,4596,0	2899,4595,0	S	Gate	Open	Open Gate
494	false	>512	true	2900,4567,0 E	2900,4567,0	2901,4567,0	E	Gate	Open	Open Gate
495	false	>512	true	2902,4575,0 E	2902,4575,0	2903,4575,0	E	Gate	Open	Open Gate
496	false	>512	true	2902,5470,0 E	2903,5470,0	2902,5470,0	W	Gate	Open	Open Gate
497	false	>512	true	2902,9873,0 E	2902,9873,0	2903,9873,0	E	Gate	Open	Open Gate
498	false	>512	true	2902,9874,0 E	2902,9874,0	2903,9874,0	E	Gate	Open	Open Gate
499	false	>512	true	2903,4554,0 N	2903,4554,0	2903,4555,0	N	Gate	Open	Open Gate
500	false	>512	true	2903,4587,0 N	2903,4588,0	2903,4587,0	S	Gate	Open	Open Gate
501	false	>512	true	2903,4593,0 N	2903,4594,0	2903,4593,0	S	Gate	Open	Open Gate
502	false	>512	true	2904,4573,0 E	2904,4573,0	2905,4573,0	E	Gate	Open	Open Gate
503	false	>512	true	2905,4560,0 N	2905,4560,0	2905,4561,0	N	Gate	Open	Open Gate
504	false	>512	true	2906,4585,0 N	2906,4586,0	2906,4585,0	S	Gate	Open	Open Gate
505	false	>512	true	2908,4591,0 N	2908,4592,0	2908,4591,0	S	Gate	Open	Open Gate
506	false	>512	true	2909,4562,0 N	2909,4562,0	2909,4563,0	N	Gate	Open	Open Gate
507	false	>512	true	2909,9909,0 N	2909,9910,0	2909,9909,0	S	Gate	Open	Open Gate
508	false	>512	true	2910,4597,0 N	2910,4598,0	2910,4597,0	S	Gate	Open	Open Gate
509	false	>512	true	2910,5480,0 N	2910,5480,0	2910,5481,0	N	Gate	Open	Open Gate
510	false	>512	true	2910,9909,0 N	2910,9910,0	2910,9909,0	S	Gate	Open	Open Gate
511	false	>512	true	2911,4566,0 N	2911,4566,0	2911,4567,0	N	Gate	Open	Open Gate
512	false	>512	true	2912,4572,0 N	2912,4572,0	2912,4573,0	N	Gate	Open	Open Gate
513	false	>512	true	2912,4583,0 N	2912,4584,0	2912,4583,0	S	Gate	Open	Open Gate
514	false	>512	true	2913,5462,0 N	2913,5463,0	2913,5462,0	S	Gate	Open	Open Gate
515	false	>512	true	2914,4599,0 N	2914,4600,0	2914,4599,0	S	Gate	Open	Open Gate
516	false	>512	true	2915,4560,0 N	2915,4560,0	2915,4561,0	N	Gate	Open	Open Gate
517	false	>512	true	2915,4595,0 N	2915,4596,0	2915,4595,0	S	Gate	Open	Open Gate
518	false	>512	true	2916,4552,0 N	2916,4552,0	2916,4553,0	N	Gate	Open	Open Gate
519	false	>512	true	2916,4568,0 N	2916,4568,0	2916,4569,0	N	Gate	Open	Open Gate
520	false	>512	true	2916,4585,0 N	2916,4586,0	2916,4585,0	S	Gate	Open	Open Gate
521	false	>512	true	2917,4576,0 E	2918,4576,0	2917,4576,0	W	Gate	Open	Open Gate
522	false	>512	true	2920,5473,0 E	2920,5473,0	2921,5473,0	E	Gate	Open	Open Gate
523	false	>512	true	2921,4575,0 E	2922,4575,0	2921,4575,0	W	Gate	Open	Open Gate
524	false	>512	true	2921,4599,0 N	2921,4600,0	2921,4599,0	S	Gate	Open	Open Gate
525	false	>512	true	2923,4566,0 E	2924,4566,0	2923,4566,0	W	Gate	Open	Open Gate
526	false	>512	true	2923,4583,0 E	2924,4583,0	2923,4583,0	W	Gate	Open	Open Gate
527	false	>512	true	2924,4554,0 N	2924,4554,0	2924,4555,0	N	Gate	Open	Open Gate
528	false	>512	true	2925,4578,0 E	2926,4578,0	2925,4578,0	W	Gate	Open	Open Gate
529	false	>512	true	2927,4588,0 E	2928,4588,0	2927,4588,0	W	Gate	Open	Open Gate
530	false	>512	true	2928,4597,0 N	2928,4598,0	2928,4597,0	S	Gate	Open	Open Gate
531	false	>512	true	2929,4573,0 E	2930,4573,0	2929,4573,0	W	Gate	Open	Open Gate
532	false	>512	true	2929,4581,0 E	2930,4581,0	2929,4581,0	W	Gate	Open	Open Gate
533	false	>512	true	2929,4586,0 E	2930,4586,0	2929,4586,0	W	Gate	Open	Open Gate
534	false	>512	true	2931,4561,0 E	2932,4561,0	2931,4561,0	W	Gate	Open	Open Gate
535	false	>512	true	2933,3319,0 N	2933,3320,0	2933,3319,0	S	Gate	Open	Open Gate
536	false	>512	true	2933,4565,0 E	2934,4565,0	2933,4565,0	W	Gate	Open	Open Gate
537	false	>512	true	2934,3319,0 N	2934,3320,0	2934,3319,0	S	Gate	Open	Open Gate
538	false	>512	true	2935,4560,0 E	2936,4560,0	2935,4560,0	W	Gate	Open	Open Gate
539	false	>512	true	2944,3041,0 E	2945,3041,0	2944,3041,0	W	Gate	Open	Open Gate
540	false	>512	true	2944,3042,0 E	2945,3042,0	2944,3042,0	W	Gate	Open	Open Gate
541	false	>512	true	2947,3903,0 N	2947,3904,0	2947,3903,0	S	Gate	Open	Open Gate
542	false	>512	true	2948,3903,0 N	2948,3904,0	2948,3903,0	S	Gate	Open	Open Gate
543	false	>512	true	3007,3849,0 E	3008,3849,0	3007,3849,0	W	Gate	Open	Open Gate
544	false	>512	true	3007,3850,0 E	3008,3850,0	3007,3850,0	W	Gate	Open	Open Gate
545	false	>512	true	3022,10311,0 E	3022,10311,0	3023,10311,0	E	Gate	Open	Open Gate
546	false	>512	true	3022,10312,0 E	3022,10312,0	3023,10312,0	E	Gate	Open	Open Gate
547	false	>512	true	3040,10307,0 E	3040,10307,0	3041,10307,0	E	Gate	Open	Open Gate
548	false	>512	true	3040,10308,0 E	3040,10308,0	3041,10308,0	E	Gate	Open	Open Gate
549	false	>512	true	3044,10341,0 E	3044,10341,0	3045,10341,0	E	Gate	Open	Open Gate
550	false	>512	true	3044,10342,0 E	3044,10342,0	3045,10342,0	E	Gate	Open	Open Gate
551	false	>512	true	3075,3867,0 N	3075,3867,0	3075,3868,0	N	Gate	Open	Open Gate
552	false	>512	true	3076,3867,0 N	3076,3867,0	3076,3868,0	N	Gate	Open	Open Gate
553	false	>512	true	3091,9815,0 N	3091,9815,0	3091,9816,0	N	Gate	Open	Open Gate
554	false	>512	true	3092,9815,0 N	3092,9815,0	3092,9816,0	N	Gate	Open	Open Gate
555	false	>512	true	3103,9909,0 E	3103,9909,0	3104,9909,0	E	Gate	Open	Open Gate
556	false	>512	true	3103,9910,0 E	3103,9910,0	3104,9910,0	E	Gate	Open	Open Gate
557	false	>512	true	3145,9870,0 E	3145,9870,0	3146,9870,0	E	Gate	Open	Open Gate
558	false	>512	true	3145,9871,0 E	3145,9871,0	3146,9871,0	E	Gate	Open	Open Gate
559	false	>512	true	3201,3855,0 N	3201,3856,0	3201,3855,0	S	Gate	Open	Open Gate
560	false	>512	true	3202,3855,0 N	3202,3856,0	3202,3855,0	S	Gate	Open	Open Gate
561	false	>512	true	3224,3903,0 N	3224,3904,0	3224,3903,0	S	Gate	Open	Open Gate
